RF1,RF2,DC Value,Freq_-50,Freq_-49,Freq_-48,Freq_-47,Freq_-46,Freq_-45,Freq_-44,Freq_-43,Freq_-42,Freq_-41,Freq_-40,Freq_-39,Freq_-38,Freq_-37,Freq_-36,Freq_-35,Freq_-34,Freq_-33,Freq_-32,Freq_-31,Freq_-30,Freq_-29,Freq_-28,Freq_-27,Freq_-26,Freq_-25,Freq_-24,Freq_-23,Freq_-22,Freq_-21,Freq_-20,Freq_-19,Freq_-18,Freq_-17,Freq_-16,Freq_-15,Freq_-14,Freq_-13,Freq_-12,Freq_-11,Freq_-10,Freq_-9,Freq_-8,Freq_-7,Freq_-6,Freq_-5,Freq_-4,Freq_-3,Freq_-2,Freq_-1,Freq_0,Freq_1,Freq_2,Freq_3,Freq_4,Freq_5,Freq_6,Freq_7,Freq_8,Freq_9,Freq_10,Freq_11,Freq_12,Freq_13,Freq_14,Freq_15,Freq_16,Freq_17,Freq_18,Freq_19,Freq_20,Freq_21,Freq_22,Freq_23,Freq_24,Freq_25,Freq_26,Freq_27,Freq_28,Freq_29,Freq_30,Freq_31,Freq_32,Freq_33,Freq_34,Freq_35,Freq_36,Freq_37,Freq_38,Freq_39,Freq_40,Freq_41,Freq_42,Freq_43,Freq_44,Freq_45,Freq_46,Freq_47,Freq_48,Freq_49,Freq_50
3.25,0.0,4.0,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,0.125,3.875,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,0.25,3.75,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,0.375,3.625,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,0.5,3.5,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,0.625,3.375,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,0.75,3.25,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,0.875,3.125,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,1.0,3.0,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
3.25,1.125,2.875,192475000000000.0,192487500000000.0,192500000000000.0,192512500000000.0,192525000000000.0,192537500000000.0,192550000000000.0,192562500000000.0,192575000000000.0,192587500000000.0,192600000000000.0,192612500000000.0,192625000000000.0,192637500000000.0,192650000000000.0,192662500000000.0,192675000000000.0,192687500000000.0,192700000000000.0,192712500000000.0,192725000000000.0,192737500000000.0,192750000000000.0,192762500000000.0,192775000000000.0,192787500000000.0,192800000000000.0,192812500000000.0,192825000000000.0,192837500000000.0,192850000000000.0,192862500000000.0,192875000000000.0,192887500000000.0,192900000000000.0,192912500000000.0,192925000000000.0,192937500000000.0,192950000000000.0,192962500000000.0,192975000000000.0,192987500000000.0,193000000000000.0,193012500000000.0,193025000000000.0,193037500000000.0,193050000000000.0,193062500000000.0,193075000000000.0,193087500000000.0,193100000000000.0,193112500000000.0,193125000000000.0,193137500000000.0,193150000000000.0,193162500000000.0,193175000000000.0,193187500000000.0,193200000000000.0,193212500000000.0,193225000000000.0,193237500000000.0,193250000000000.0,193262500000000.0,193275000000000.0,193287500000000.0,193300000000000.0,193312500000000.0,193325000000000.0,193337500000000.0,193350000000000.0,193362500000000.0,193375000000000.0,193387500000000.0,193400000000000.0,193412500000000.0,193425000000000.0,193437500000000.0,193450000000000.0,193462500000000.0,193475000000000.0,193487500000000.0,193500000000000.0,193512500000000.0,193525000000000.0,193537500000000.0,193550000000000.0,193562500000000.0,193575000000000.0,193587500000000.0,193600000000000.0,193612500000000.0,193625000000000.0,193637500000000.0,193650000000000.0,193662500000000.0,193675000000000.0,193687500000000.0,193700000000000.0,193712500000000.0,193725000000000.0
